_c0,Create At,Title,Company,Location,Salary Snippet,Salary Range,Salary Period,Salary From,Salary To,Salary Fixed
4,2022-03-20 19:09:47.174482,General Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
5,2022-03-20 19:09:47.175004,Host,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
6,2022-03-20 19:09:47.175517,Crew Member,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
7,2022-03-20 19:09:47.176030,Bartender,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
8,2022-03-20 19:09:47.176545,Shift Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
9,2022-03-20 19:09:47.177093,Team Member,"Burger King | Shonaz Foods, Inc.","","","","","","",""
10,2022-03-20 19:09:47.177618,Line Cook,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
11,2022-03-20 19:09:47.178124,Server,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
12,2022-03-20 19:09:47.178707,Crew Member,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
13,2022-03-20 19:09:47.179210,To Go Specialist,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
14,2022-03-20 19:09:47.179522,Shift Supervisor,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
15,2022-03-20 19:09:47.179805,Executive Assistant to CEO/COO,New Age Meats,"Berkeley, CA","","","","","",""
16,2022-03-20 19:09:47.180197,Lead Supply Planner,Memphis Meats,"Berkeley, CA","","","","","",""
17,2022-03-20 19:09:47.180666,Research Associate - Biomaterials Engineering,New Age Meats,"Berkeley, CA","","","","","",""
18,2022-03-20 19:09:47.181269,Restaurant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
19,2022-03-20 19:09:47.181840,General Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
20,2022-03-20 19:09:47.182405,Crew Member,"Wendy's | Haza Foods, LLC","","","","","","",""
21,2022-03-20 19:09:47.182991,Team Member: Service Champion,Taco Bell | Tacala Companies,"","","","","","",""
22,2022-03-20 19:09:47.183566,Team Member: Food Champion,Taco Bell | Tacala Companies,"","","","","","",""
23,2022-03-20 19:09:47.184154,Assistant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
24,2022-03-20 19:09:47.184764,Shift Supervisor,"Wendy's | Haza Foods, LLC","","","","","","",""
25,2022-03-20 19:09:47.185354,Maintenance Technician,"Wendy's | Haza Foods, LLC","","","","","","",""
26,2022-03-20 19:09:47.185925,Shift Lead,Taco Bell | Tacala Companies,"","","","","","",""
27,2022-03-20 19:09:47.186487,Assistant Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
28,2022-03-20 19:09:47.187043,QUALITY ASSURANCE SUPERINTENDENT,Pilgrim's,"","","","","","",""
29,2022-03-20 19:09:47.187515,Maintenance Parts Clerk - 2nd and 3rd Shift,"FPL FOOD, LLC","",$14 - $17 an hour,range,hourly,14,17,""
30,2022-03-20 19:09:47.188011,"Research Associate, Upstream Development",UPSIDE Foods,"Berkeley, CA","","","","","",""
31,2022-03-20 19:09:47.188463,"Beef Production Jobs in MINNESOTA, INTERVIEWS in San Juan, P...",American Foods Group,"",$16.25 - $23.25 an hour,range,hourly,16.25,23.25,""
32,2022-03-20 19:09:47.188959,Quality Assurance Specialist II/III,"Wild Rose Foods, LLC","","","","","","",""
0,2022-03-20 19:09:48.437193,Food Inspector (FI),USDA Food Safety and Inspection Service,"","$35,265 - $56,790 a year",range,yearly,35265,56790,""
1,2022-03-20 19:09:48.437702,Consumer Safety Inspector,USDA Food Safety and Inspection Service,"","$48,445 - $77,034 a year",range,yearly,48445,77034,""
2,2022-03-20 19:09:48.438124,Livestock Manager,"Hancock Shaker Village, Inc","","$35,000 - $40,000 a year",range,yearly,35000,40000,""
3,2022-03-20 19:09:48.438610,Supervisory Consumer Safety Inspector,USDA Food Safety and Inspection Service,"Storm Lake, IA","$58,842 - $76,499 a year",range,yearly,58842,76499,""
4,2022-03-20 19:09:48.439219,General Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
5,2022-03-20 19:09:48.439731,Host,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
6,2022-03-20 19:09:48.440215,Crew Member,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
7,2022-03-20 19:09:48.440730,Shift Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
8,2022-03-20 19:09:48.441208,Bartender,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
9,2022-03-20 19:09:48.441667,Team Member,"Burger King | Shonaz Foods, Inc.","","","","","","",""
10,2022-03-20 19:09:48.442142,Line Cook,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
11,2022-03-20 19:09:48.442674,Crew Member,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
12,2022-03-20 19:09:48.443139,Server,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
13,2022-03-20 19:09:48.443600,To Go Specialist,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
14,2022-03-20 19:09:48.444135,Shift Supervisor,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
15,2022-03-20 19:09:48.444609,Executive Assistant to CEO/COO,New Age Meats,"Berkeley, CA","","","","","",""
16,2022-03-20 19:09:48.445158,Lead Supply Planner,Memphis Meats,"Berkeley, CA","","","","","",""
17,2022-03-20 19:09:48.445641,Research Associate - Biomaterials Engineering,New Age Meats,"Berkeley, CA","","","","","",""
18,2022-03-20 19:09:48.446232,General Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
19,2022-03-20 19:09:48.446818,Restaurant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
20,2022-03-20 19:09:48.447408,Crew Member,"Wendy's | Haza Foods, LLC","","","","","","",""
21,2022-03-20 19:09:48.448002,Team Member: Service Champion,Taco Bell | Tacala Companies,"","","","","","",""
22,2022-03-20 19:09:48.448645,Team Member: Food Champion,Taco Bell | Tacala Companies,"","","","","","",""
23,2022-03-20 19:09:48.449371,Shift Supervisor,"Wendy's | Haza Foods, LLC","","","","","","",""
24,2022-03-20 19:09:48.450027,Assistant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
25,2022-03-20 19:09:48.450685,Assistant Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
26,2022-03-20 19:09:48.451396,Maintenance Technician,"Wendy's | Haza Foods, LLC","","","","","","",""
27,2022-03-20 19:09:48.452168,Shift Lead,Taco Bell | Tacala Companies,"","","","","","",""
28,2022-03-20 19:09:48.452938,QUALITY ASSURANCE SUPERINTENDENT,Pilgrim's,"","","","","","",""
29,2022-03-20 19:09:48.453536,Maintenance Parts Clerk - 2nd and 3rd Shift,"FPL FOOD, LLC","",$14 - $17 an hour,range,hourly,14,17,""
30,2022-03-20 19:09:48.454092,"Research Associate, Upstream Development",UPSIDE Foods,"Berkeley, CA","","","","","",""
31,2022-03-20 19:09:48.454529,"Beef Production Jobs in MINNESOTA, INTERVIEWS in San Juan, P...",American Foods Group,"",$16.25 - $23.25 an hour,range,hourly,16.25,23.25,""
32,2022-03-20 19:09:48.454981,Quality Assurance Specialist II/III,"Wild Rose Foods, LLC","","","","","","",""
0,2022-03-20 19:09:55.586458,Sales Manager,Powerhouse Controls,"","","","","","",""
1,2022-03-20 19:09:55.586656,Sales Associate- Leads AND Training supplied,NJ Real Estate eXperts,"Monmouth County, NJ","$75,000 - $250,000 a year",range,yearly,75000,250000,""
2,2022-03-20 19:09:55.586840,Service Manager - New Car Dealership,"\"\"\"Confidential Automotive\"\"\"","Grove City, PA","$75,000 - $120,000 a year",range,yearly,75000,120000,""
3,2022-03-20 19:09:55.587026,Sales Consultant,J Wale Enterprises,"","$60,000 - $80,000 a year",range,yearly,60000,80000,""
4,2022-03-20 19:09:55.587209,Independent Sales Associate,Honest Abe Roofing of Athens GA,"Athens, GA","$75,000 - $125,000 a year",range,yearly,75000,125000,""
5,2022-03-20 19:09:55.587443,"Luxury Auto Sales, Best Pay Plan in the City",INFINITI of South Atlanta,"","","","","","",""
6,2022-03-20 19:09:55.587640,Regional Sales Manager,Local Manufacturer,"","$110,000 - $125,000 a year",range,yearly,110000,125000,""
7,2022-03-20 19:09:55.587846,Technical Marketing and Sales Support Coordinator,Bright Byte Consulting,"",$70 - $80 an hour,range,hourly,70,80,""
8,2022-03-20 19:09:55.588067,"Steel, Plastics, Electronics Industrial Sales - B2B Remote",Company Confidential,"","$50,000 - $100,000 a year",range,yearly,50000,100000,""
9,2022-03-20 19:09:55.588270,Licensed Insurance Producer,Gannon Insurance Inc.,"","$30,000 - $80,000 a year",range,yearly,30000,80000,""
10,2022-03-20 19:09:55.588450,Bilingual Sales Associate - Spanish,US Cellular/ Quality Cellular,"",$25 - $35 an hour,range,hourly,25,35,""
11,2022-03-20 19:09:55.588676,"Marketing Manager, Sales and Systems",Ackermann Group,"","","","","","",""
12,2022-03-20 19:09:55.588954,Licensed Sales Producer - Property & Casualty Licensed,Insurance Agencies - Woodstock,"","Up to $55,000 a year",upto,yearly,"",55000,""
13,2022-03-20 19:09:55.589199,Mobile Associate - Retail Sales,T-Mobile,"","","","","","",""
14,2022-03-20 19:09:55.589381,"Business Development Sales Representative (Madison, AL)",Allstate Insurance,"Paint Rock, AL","$60,000 - $85,000 a year",range,yearly,60000,85000,""
15,2022-03-20 19:09:55.589587,Barb's Harley-Davidson Motorcycle Sales Associate,Barb's Harley Davidson,"Mount Ephraim, NJ","Up to $80,000 a year",upto,yearly,"",80000,""
16,2022-03-20 19:09:55.589825,Retail Sales Representative,Verizon,"","","","","","",""
17,2022-03-20 19:09:55.590008,Sales and Distribution Manager,Sound Shore/Good Shepherd Distillery,"Mamaroneck, NY",$12 - $25 an hour,range,hourly,12,25,""
18,2022-03-20 19:09:55.590226,Retail Sales Associate - Photographer - Pirates Voyage,Magic Memories USA,"",$13 - $15 an hour,range,hourly,13,15,""
19,2022-03-20 19:09:55.590466,Customer Sales Associate,Bed Bath & Beyond,"","","","","","",""
20,2022-03-20 19:09:55.590684,Sales Manager,CyberCoders,"","$55,000 - $75,000 a year",range,yearly,55000,75000,""
21,2022-03-20 19:09:55.590937,Business Development Representative,CyberCoders,"","","","","","",""
22,2022-03-20 19:09:55.591124,AT&T Retail Sales Associate,Cellular Concepts - AT&T,"",$16.50 - $25.00 an hour,range,hourly,16.50,25.00,""
23,2022-03-20 19:09:55.591349,Business Development Manager - Construction,CyberCoders,"","$70,000 - $150,000 a year",range,yearly,70000,150000,""
24,2022-03-20 19:09:55.591585,Commercial Flooring Project Manager/Estimator/Sales,gpac,"St. Louis, MO","","","","","",""
25,2022-03-20 19:09:55.591834,Sr. Solutions Architect (Cisco UC / Collaboration / Networki...,CyberCoders,"","","","","","",""
0,2022-03-20 19:09:44.732022,Driver for Taekwondo After School Program,Impact Taekwondo Center,"",$15 an hour,fixed,hourly,"","",15
1,2022-03-20 19:09:44.732262,Courier Driver Hiring Event,FedEx Express,"",$17.79 an hour,"",hourly,"","",""
2,2022-03-20 19:09:44.732483,Appointment Driver,Brandon School and Residential Treatment Center,Massachusetts,$14.00 - $17.25 an hour,range,hourly,14.00,17.25,""
3,2022-03-20 19:09:44.732724,"Delivery Driver - Company Vehicle (8-9, 9-10 hour routes M-F...",Optima Overnight,"Kingston, MA","","","","","",""
4,2022-03-20 19:09:44.732942,Delivery Driver Pepsi (Trainee DOT),Pepsi Bottling Ventures,"Winston-Salem, NC","","","","","",""
5,2022-03-20 19:09:44.733160,"Manager, Recruiting â Driver Hiring",Penske,"Reading, PA","","","","","",""
6,2022-03-20 19:09:44.733376,Delivery Driver/In-Shop,Jimmy Johns,"",$24 - $30 an hour,range,hourly,24,30,""
7,2022-03-20 19:09:44.733596,DRIVER (Part-time),Franke Tobey Jones,"",From $16 an hour,from,hourly,16,"",""
8,2022-03-20 19:09:44.733775,Delivery Driver,Golden Valley Supply Co.,"",From $20 an hour,from,hourly,20,"",""
9,2022-03-20 19:09:44.733982,Tri-Axle Dump Truck Driver,Papillon & Moyer Excavating and Paving LLC,"Stroudsburg, PA","","","","","",""
10,2022-03-20 19:09:44.734161,Delivery Driver Hiring Event,Furniture & ApplianceMart/Ashley Homestore,"",$17.32 - $21.00 an hour,range,hourly,17.32,21.00,""
11,2022-03-20 19:09:44.734335,Delivery Driver Boca Raton,Domino's Pizza Boca Raton,"Boca Raton, FL",From $10 an hour,from,hourly,10,"",""
12,2022-03-20 19:09:44.734512,Driver Education Teacher,Drive! Driving School,"Denver, NC",$15 an hour,fixed,hourly,"","",15
13,2022-03-20 19:09:44.734688,Delivery Driver,Newtonville Laundromat,"Newton, MA",$18 - $23 an hour,range,hourly,18,23,""
14,2022-03-20 19:09:44.734899,Professional Mover/Driver,Wizard Moving SRQ INC,"Sarasota, FL",$14 - $17 an hour,range,hourly,14,17,""
15,2022-03-20 19:09:44.735108,Courier (Afternoon Shift),md laboratory,"Alhambra, CA",$15 an hour,fixed,hourly,"","",15
16,2022-03-20 19:09:44.735309,Delivery Driver For Amazon Packages - $1250 Sign on Bonus-No...,BDL Logistics,"",$18 - $21 an hour,range,hourly,18,21,""
17,2022-03-20 19:09:44.735498,CDL Class A Driver - Frac Sand / Hydrovac,"Gemini Resources Group, LLC",United States,"Up to $3,500 a week",upto,weekly,"",3500,""
18,2022-03-20 19:09:44.735727,Furniture Delivery Driver,Aaron's Inc.,"",From $18 an hour,from,hourly,18,"",""
19,2022-03-20 19:09:44.735912,"Driver/ Laborer - Weekly Pay + Benefits - Oklahoma City, OK",TruGreen,"",$14 an hour,fixed,hourly,"","",14
20,2022-03-20 19:09:44.736140,Delivery Driver Sales Associate,PPG,"","","","","","",""
21,2022-03-20 19:09:44.736357,Warehouse/Driver Associate,FleetPride,"",$12.00 - $16.50 an hour,range,hourly,12.00,16.50,""
22,2022-03-20 19:09:44.736596,Transporter PRN,Blake Medical Center,"","","","","","",""
23,2022-03-20 19:09:44.736809,Evening Service Porter (Must Have Pickup Truck or Vehicle w/...,A1 Valet Trash,"",$205 a week,fixed,weekly,"","",205
24,2022-03-20 19:09:44.737016,Shuttle Driver,Kelly,"",$12 an hour,fixed,hourly,"","",12
25,2022-03-20 19:09:44.737223,Box Truck Driver,Kelly,"",$23 an hour,fixed,hourly,"","",23
26,2022-03-20 19:09:44.737459,Class A CDL Driver,Mancan,"","","","","","",""
27,2022-03-20 19:09:44.737674,Delivery Driver,Mancan,"",$16.50 an hour,"",hourly,"","",""
28,2022-03-20 19:09:44.737905,Domino’s Pizza delivery job - Sumner - Earn cash & tips DAIL...,Domino's,"","","","","","",""
0,2022-03-20 19:09:53.776779,Halal Slaughter Person,"HVFG, LLC,","",$15 - $20 an hour,range,hourly,15,20,""
1,2022-03-20 19:09:53.777247,Food Inspector (FI),USDA Food Safety and Inspection Service,"","$35,265 - $56,790 a year",range,yearly,35265,56790,""
2,2022-03-20 19:09:53.777640,Livestock Manager,"Hancock Shaker Village, Inc","","$35,000 - $40,000 a year",range,yearly,35000,40000,""
3,2022-03-20 19:09:53.778101,Consumer Safety Inspector,USDA Food Safety and Inspection Service,"","$43,683 - $69,462 a year",range,yearly,43683,69462,""
4,2022-03-20 19:09:53.778545,Supervisory Consumer Safety Inspector,USDA Food Safety and Inspection Service,"Storm Lake, IA","$58,842 - $76,499 a year",range,yearly,58842,76499,""
5,2022-03-20 19:09:53.779063,Crew Member,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
6,2022-03-20 19:09:53.779579,General Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
7,2022-03-20 19:09:53.780092,Host,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
8,2022-03-20 19:09:53.780612,Shift Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
9,2022-03-20 19:09:53.781164,Team Member,"Burger King | Shonaz Foods, Inc.","","","","","","",""
10,2022-03-20 19:09:53.781759,Crew Member,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
11,2022-03-20 19:09:53.782271,Line Cook,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
12,2022-03-20 19:09:53.782786,Bartender,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
13,2022-03-20 19:09:53.783316,Server,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
14,2022-03-20 19:09:53.783848,To Go Specialist,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
15,2022-03-20 19:09:53.784460,Shift Supervisor,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
16,2022-03-20 19:09:53.785005,Lead Supply Planner,Memphis Meats,"Berkeley, CA","","","","","",""
17,2022-03-20 19:09:53.785601,General Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
18,2022-03-20 19:09:53.786201,Restaurant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
19,2022-03-20 19:09:53.786803,Crew Member,"Wendy's | Haza Foods, LLC","","","","","","",""
20,2022-03-20 19:09:53.787408,Team Member: Food Champion,Taco Bell | Tacala Companies,"","","","","","",""
21,2022-03-20 19:09:53.788018,Team Member: Service Champion,Taco Bell | Tacala Companies,"","","","","","",""
22,2022-03-20 19:09:53.788637,Shift Supervisor,"Wendy's | Haza Foods, LLC","","","","","","",""
23,2022-03-20 19:09:53.789240,Assistant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
24,2022-03-20 19:09:53.789857,Maintenance Technician,"Wendy's | Haza Foods, LLC","","","","","","",""
25,2022-03-20 19:09:53.790455,Assistant Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
26,2022-03-20 19:09:53.791082,Shift Lead,Taco Bell | Tacala Companies,"","","","","","",""
27,2022-03-20 19:09:53.791570,Maintenance Parts Clerk - 2nd and 3rd Shift,"FPL FOOD, LLC","",$14 - $17 an hour,range,hourly,14,17,""
28,2022-03-20 19:09:53.792165,QUALITY ASSURANCE SUPERINTENDENT,Pilgrim's,"","","","","","",""
29,2022-03-20 19:09:53.792654,Executive Assistant to CEO/COO,New Age Meats,"Berkeley, CA","","","","","",""
30,2022-03-20 19:09:53.793216,"Research Associate, Upstream Development",UPSIDE Foods,"Berkeley, CA","","","","","",""
31,2022-03-20 19:09:53.793705,Research Associate - Biomaterials Engineering,New Age Meats,"Berkeley, CA","","","","","",""
32,2022-03-20 19:09:53.794239,Quality Assurance Specialist II/III,"Wild Rose Foods, LLC","","","","","","",""
0,2022-03-20 19:09:51.265533,Halal Slaughter Person,"HVFG, LLC,","",$15 - $20 an hour,range,hourly,15,20,""
1,2022-03-20 19:09:51.265751,Livestock Manager,"Hancock Shaker Village, Inc","","$35,000 - $40,000 a year",range,yearly,35000,40000,""
2,2022-03-20 19:09:51.266005,Food Inspector (FI),USDA Food Safety and Inspection Service,"","$35,265 - $56,790 a year",range,yearly,35265,56790,""
3,2022-03-20 19:09:51.266283,Consumer Safety Inspector,USDA Food Safety and Inspection Service,"","$43,683 - $69,462 a year",range,yearly,43683,69462,""
4,2022-03-20 19:09:51.266474,Supervisory Consumer Safety Inspector,USDA Food Safety and Inspection Service,"Storm Lake, IA","$58,842 - $76,499 a year",range,yearly,58842,76499,""
5,2022-03-20 19:09:51.266679,Host,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
6,2022-03-20 19:09:51.266954,Crew Member,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
7,2022-03-20 19:09:51.267169,General Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
8,2022-03-20 19:09:51.267303,Team Member,"Burger King | Shonaz Foods, Inc.","","","","","","",""
9,2022-03-20 19:09:51.267535,To Go Specialist,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
10,2022-03-20 19:09:51.267750,Shift Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
11,2022-03-20 19:09:51.268073,Line Cook,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
12,2022-03-20 19:09:51.268390,Crew Member,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
13,2022-03-20 19:09:51.268652,Bartender,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
14,2022-03-20 19:09:51.268912,Server,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
15,2022-03-20 19:09:51.269207,Shift Supervisor,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
16,2022-03-20 19:09:51.269411,Executive Assistant to CEO/COO,New Age Meats,"Berkeley, CA","","","","","",""
17,2022-03-20 19:09:51.269580,Crew Member,"Wendy's | Haza Foods, LLC","","","","","","",""
18,2022-03-20 19:09:51.269827,Research Associate - Biomaterials Engineering,New Age Meats,"Berkeley, CA","","","","","",""
19,2022-03-20 19:09:51.270082,Lead Supply Planner,Memphis Meats,"Berkeley, CA","","","","","",""
20,2022-03-20 19:09:51.270275,General Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
21,2022-03-20 19:09:51.270567,Team Member: Food Champion,Taco Bell | Tacala Companies,"","","","","","",""
22,2022-03-20 19:09:51.270865,Shift Supervisor,"Wendy's | Haza Foods, LLC","","","","","","",""
23,2022-03-20 19:09:51.271092,Team Member: Service Champion,Taco Bell | Tacala Companies,"","","","","","",""
24,2022-03-20 19:09:51.271315,Maintenance Technician,"Wendy's | Haza Foods, LLC","","","","","","",""
25,2022-03-20 19:09:51.271597,Restaurant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
26,2022-03-20 19:09:51.271900,Assistant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
27,2022-03-20 19:09:51.272133,Assistant Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
28,2022-03-20 19:09:51.272314,Shift Lead,Taco Bell | Tacala Companies,"","","","","","",""
29,2022-03-20 19:09:51.272545,"Research Associate, Upstream Development",UPSIDE Foods,"Berkeley, CA","","","","","",""
30,2022-03-20 19:09:51.272842,QUALITY ASSURANCE SUPERINTENDENT,Pilgrim's,"","","","","","",""
31,2022-03-20 19:09:51.273065,Maintenance Parts Clerk - 2nd and 3rd Shift,"FPL FOOD, LLC","",$14 - $17 an hour,range,hourly,14,17,""
32,2022-03-20 19:09:51.273262,Quality Assurance Specialist II/III,"Wild Rose Foods, LLC","","","","","","",""
0,2022-03-20 19:09:53.465669,Consumer Safety Inspector,USDA Food Safety and Inspection Service,"","$48,445 - $77,034 a year",range,yearly,48445,77034,""
1,2022-03-20 19:09:53.466098,Halal Slaughter Person,"HVFG, LLC,","",$15 - $20 an hour,range,hourly,15,20,""
2,2022-03-20 19:09:53.466583,Food Inspector (FI),USDA Food Safety and Inspection Service,"","$35,265 - $56,790 a year",range,yearly,35265,56790,""
3,2022-03-20 19:09:53.467000,Livestock Manager,"Hancock Shaker Village, Inc","","$35,000 - $40,000 a year",range,yearly,35000,40000,""
4,2022-03-20 19:09:53.467463,Supervisory Consumer Safety Inspector,USDA Food Safety and Inspection Service,"Storm Lake, IA","$58,842 - $76,499 a year",range,yearly,58842,76499,""
5,2022-03-20 19:09:53.468007,General Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
6,2022-03-20 19:09:53.468552,Host,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
7,2022-03-20 19:09:53.469133,Crew Member,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
8,2022-03-20 19:09:53.469673,Bartender,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
9,2022-03-20 19:09:53.470215,Shift Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
10,2022-03-20 19:09:53.470749,Team Member,"Burger King | Shonaz Foods, Inc.","","","","","","",""
11,2022-03-20 19:09:53.471283,Line Cook,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
12,2022-03-20 19:09:53.471824,Server,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
13,2022-03-20 19:09:53.472449,Crew Member,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
14,2022-03-20 19:09:53.473028,To Go Specialist,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
15,2022-03-20 19:09:53.473644,Shift Supervisor,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
16,2022-03-20 19:09:53.474150,Executive Assistant to CEO/COO,New Age Meats,"Berkeley, CA","","","","","",""
17,2022-03-20 19:09:53.474653,Lead Supply Planner,Memphis Meats,"Berkeley, CA","","","","","",""
18,2022-03-20 19:09:53.475164,Research Associate - Biomaterials Engineering,New Age Meats,"Berkeley, CA","","","","","",""
19,2022-03-20 19:09:53.475780,Restaurant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
20,2022-03-20 19:09:53.476403,General Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
21,2022-03-20 19:09:53.477059,Team Member: Food Champion,Taco Bell | Tacala Companies,"","","","","","",""
22,2022-03-20 19:09:53.477685,Team Member: Service Champion,Taco Bell | Tacala Companies,"","","","","","",""
23,2022-03-20 19:09:53.478303,Crew Member,"Wendy's | Haza Foods, LLC","","","","","","",""
24,2022-03-20 19:09:53.478916,Assistant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
25,2022-03-20 19:09:53.479503,Shift Supervisor,"Wendy's | Haza Foods, LLC","","","","","","",""
26,2022-03-20 19:09:53.480111,Maintenance Technician,"Wendy's | Haza Foods, LLC","","","","","","",""
27,2022-03-20 19:09:53.480686,Assistant Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
28,2022-03-20 19:09:53.481297,Shift Lead,Taco Bell | Tacala Companies,"","","","","","",""
29,2022-03-20 19:09:53.481817,QUALITY ASSURANCE SUPERINTENDENT,Pilgrim's,"","","","","","",""
30,2022-03-20 19:09:53.482257,Maintenance Parts Clerk - 2nd and 3rd Shift,"FPL FOOD, LLC","",$14 - $17 an hour,range,hourly,14,17,""
31,2022-03-20 19:09:53.482721,"Research Associate, Upstream Development",UPSIDE Foods,"Berkeley, CA","","","","","",""
32,2022-03-20 19:09:53.483208,Quality Assurance Specialist II/III,"Wild Rose Foods, LLC","","","","","","",""
0,2022-03-20 19:09:54.247478,Halal Slaughter Person,"HVFG, LLC,","",$15 - $20 an hour,range,hourly,15,20,""
1,2022-03-20 19:09:54.247689,Livestock Manager,"Hancock Shaker Village, Inc","","$35,000 - $40,000 a year",range,yearly,35000,40000,""
2,2022-03-20 19:09:54.247916,Food Inspector (FI),USDA Food Safety and Inspection Service,"","$35,265 - $56,790 a year",range,yearly,35265,56790,""
3,2022-03-20 19:09:54.248143,Consumer Safety Inspector,USDA Food Safety and Inspection Service,"","$48,445 - $77,034 a year",range,yearly,48445,77034,""
4,2022-03-20 19:09:54.248365,Supervisory Consumer Safety Inspector,USDA Food Safety and Inspection Service,"Storm Lake, IA","$58,842 - $76,499 a year",range,yearly,58842,76499,""
5,2022-03-20 19:09:54.248624,Host,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
6,2022-03-20 19:09:54.248906,General Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
7,2022-03-20 19:09:54.249159,Crew Member,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
8,2022-03-20 19:09:54.249406,To Go Specialist,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
9,2022-03-20 19:09:54.249651,Team Member,"Burger King | Shonaz Foods, Inc.","","","","","","",""
10,2022-03-20 19:09:54.249899,Shift Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
11,2022-03-20 19:09:54.250182,Crew Member,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
12,2022-03-20 19:09:54.250429,Bartender,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
13,2022-03-20 19:09:54.250676,Line Cook,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
14,2022-03-20 19:09:54.250923,Server,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
